,Time_stamp [s],id_drone,T_amb [°C],T-right,T-left,wind speed [m/s],wind angle[°],position_x [m],position_y [m],UAV speed [m/s],battery level [%],waypoint distance [m],distance from GS [m],bitrate [Mbps]
336,102.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,347.3299368291758,403.63537580734334,12.741733207434484,52.547834110147285,173.964750307243,798.75472057886,0.025
337,102.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,412.502375727576,287.6237268256731,12.477874786166362,52.547834110147285,433.3834418458221,754.3160087002419,0.1
338,102.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,439.19313384925516,218.73876783507845,12.3387169717631,52.547834110147285,710.522632991751,735.9747475914243,0.1
339,102.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,451.81782768897693,175.02057778316492,12.258225268209308,52.547834110147285,997.9622203595112,726.7984535939538,0.025
340,105.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,178.0669426361203,331.7504138410055,12.045057539337051,52.03063710672892,294.8726266243708,564.7777346645059,0.05
341,105.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,474.5240296589491,175.5482914858599,12.411408814359262,52.03063710672892,168.00991328157545,758.9321966266723,0.025
342,105.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,497.75082309493615,115.68817958651846,12.147630162651957,52.03063710672892,277.4525948725655,766.5273529185962,0.025
343,105.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,501.5693438182219,83.26834809482196,12.102899417358115,52.03063710672892,581.4818975996811,762.6514308768683,0.05
344,105.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,503.01483197223257,64.95091688877574,12.079146892826797,52.03063710672892,886.6857775010403,760.7862520279126,0.05
345,105.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,117.23440454795346,443.45768036355486,12.784292589144323,52.03063710672892,57.91470097858767,688.0384398687769,0.1
346,105.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,370.38034656387725,430.42247305763124,12.741733207434484,52.03063710672892,138.62539592669435,851.763752149683,0.025
347,105.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,440.8903965648887,307.4177179173151,12.477874786166362,52.03063710672892,398.77590205467686,806.2273183869597,0.1
348,105.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,469.8257432894013,233.99524323983877,12.3387169717631,52.03063710672892,676.3010491171174,787.3071234033748,0.05
349,105.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,483.5206794075052,187.30130484861047,12.258225268209308,52.03063710672892,963.9638812185626,777.7959623053767,0.025
350,108.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,183.29143601000777,320.89739213679127,12.045057539337051,51.844159839422964,282.8275690850338,554.3324772086783,0.05
351,108.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,474.29313563644786,163.13903056074722,12.411408814359262,51.844159839422964,155.59850446721617,752.3488047836238,0.025
352,108.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,509.58306800261727,118.4382521334209,12.147630162651957,51.844159839422964,265.3049647099135,784.7487981625742,0.025
353,108.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,513.5088283716358,85.25048908513482,12.102899417358115,51.844159839422964,569.3789981823231,780.8057800029055,0.05
354,108.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,514.9945240903551,66.49777383545172,12.079146892826797,51.844159839422964,874.6066306082135,778.9049723671527,0.05
355,108.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,112.52920403723289,431.5707453019519,12.784292589144323,51.844159839422964,45.130408389443325,669.0002185454836,0.1
356,108.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,378.6912559256871,440.0806587417657,12.741733207434484,51.844159839422964,125.88366271925989,870.8763519608347,0.025
357,108.0,8.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,451.12580109155493,314.5545136517288,12.477874786166362,51.844159839422964,386.2980272685105,824.9441305662092,0.1
358,108.0,9.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,480.8704424293697,239.4960211318152,12.3387169717631,51.844159839422964,663.9623321453544,805.8151988610194,0.05
359,108.0,10.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,494.9512583072342,191.72916581562788,12.258225268209308,51.844159839422964,951.7056559503533,796.1833002076906,0.025
360,111.0,1.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,193.47292869703966,299.7470234396184,12.045057539337051,51.48075294089711,259.35416095237366,535.1449499424639,0.05
361,111.0,2.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,473.8431693653976,138.95586286988765,12.411408814359262,51.48075294089711,131.41115096979286,740.6964170328893,0.025
362,111.0,3.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,532.6417468787063,123.79759351282439,12.147630162651957,51.48075294089711,241.63166304893727,820.2587506540385,0.025
363,111.0,4.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,536.7764958693286,89.11328544705655,12.102899417358115,51.48075294089711,545.7928677977757,816.1849755797265,0.05
364,111.0,5.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,538.3405480901524,69.51228865313388,12.079146892826797,51.48075294089711,851.0667891434725,814.2147345642642,0.05
365,111.0,6.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,103.35970928194062,408.4054862538999,12.784292589144323,51.48075294089711,20.216378991718678,631.9225499114162,0.1
366,111.0,7.0,1.8,-8.7,1.8,1.1361823275193217,149.9507301662122,394.8875560899821,458.902531003007,12.741733207434484,51.48075294089711,101.05257304461152,908.1229864728073,0.025
