sim time[s],generated time[s],received time[s],queue_owner,ID UAV,ID pkt,priority,type,size file[bit],cnt packet_sent,total pkt,state,latency per pkt[s],total latency [s],latency tot[bps],latency RELAY [bps],latency UAVs [bps],delta msg [s]
33.30260594660297,32,33.30260594660297,relay,9,32,0,jpg,2400,26,63.0,RECEIVED,1.3026059466029665,,0.25473168023373227,0.04531879315927433,0.37964463041849666,4
33.35100508312451,32,33.35100508312451,relay,9,33,0,jpg,2400,27,63.0,RECEIVED,1.3510050831245124,,0.25196285762249604,0.04402397049758078,0.37964463041849666,4
33.39940459526969,32,33.39940459526969,relay,9,34,0,jpg,2400,28,63.0,RECEIVED,1.3994045952696865,,0.24925357958354447,0.04280108242820354,0.37964463041849666,4
33.447804483042745,32,33.447804483042745,relay,9,35,0,jpg,2400,29,63.0,RECEIVED,1.447804483042745,,0.24660194575818759,0.04164429641663047,0.37964463041849666,4
33.496204746447944,32,33.496204746447944,relay,9,36,0,jpg,2400,30,63.0,RECEIVED,1.496204746447944,,0.24400613580283825,0.04054839387935072,0.37964463041849666,4
33.544605385489525,32,33.544605385489525,relay,9,37,0,jpg,2400,31,63.0,RECEIVED,1.5446053854895254,,0.24146440522155868,0.03950869147218788,0.37964463041849666,4
33.59300640017173,32,33.59300640017173,relay,9,38,0,jpg,2400,32,63.0,RECEIVED,1.5930064001717312,,0.238975081456388,0.03852097418538318,0.37964463041849666,4
33.6414077904988,32,33.6414077904988,relay,9,39,0,jpg,2400,33,63.0,RECEIVED,1.6414077904988034,,0.2365365602170371,0.03758143822964213,0.37964463041849666,4
33.689809556474984,32,33.689809556474984,relay,9,40,0,jpg,2400,34,63.0,RECEIVED,1.6898095564749838,,0.2341473020330266,0.03668664208131732,0.37964463041849666,4
33.7382116981045,32,33.7382116981045,relay,9,41,0,jpg,2400,35,63.0,RECEIVED,1.7382116981045002,,0.23180582901269634,0.035833464358495985,0.37964463041849666,4
33.78661421539158,32,33.78661421539158,relay,9,42,0,jpg,2400,36,63.0,RECEIVED,1.7866142153915803,,0.22951072179474885,0.03501906744125744,0.37964463041849666,4
33.83501710834045,32,33.83501710834045,relay,9,43,0,jpg,2400,37,63.0,RECEIVED,1.8350171083404518,,0.22726061667911407,0.03424086594256283,0.37964463041849666,4
33.88342037695534,32,33.88342037695534,relay,9,44,0,jpg,2400,38,63.0,RECEIVED,1.8834203769553426,,0.2250542029249479,0.03349649929163755,0.37964463041849666,4
33.931824021240466,32,33.931824021240466,relay,9,45,0,jpg,2400,39,63.0,RECEIVED,1.931824021240466,,0.2228902202045157,0.03278380781734739,0.37964463041849666,4
33.980228041200036,32,33.980228041200036,relay,9,46,0,jpg,2400,40,63.0,RECEIVED,1.9802280412000357,,0.22076745620256794,0.03210081182115265,0.37964463041849666,4
34.028632436838265,32,34.028632436838265,relay,9,47,0,jpg,2400,41,63.0,RECEIVED,2.028632436838265,,0.21868474435160032,0.0314456932125577,0.37964463041849666,4
34.07703720815936,32,34.07703720815936,relay,9,48,0,jpg,2400,42,63.0,RECEIVED,2.0770372081593607,,0.21664096169410874,0.030816779348306546,0.37964463041849666,4
34.12544235516753,32,34.12544235516753,relay,9,49,0,jpg,2400,43,63.0,RECEIVED,2.1254423551675288,,0.21463502686360772,0.030212528772849554,0.37964463041849666,4
34.17384787786697,32,34.17384787786697,relay,9,50,0,jpg,2400,44,63.0,RECEIVED,2.1738478778669688,,0.21266589817678563,0.02963151860414091,0.37964463041849666,4
34.22225377626188,32,34.22225377626188,relay,9,51,0,jpg,2400,45,63.0,RECEIVED,2.22225377626188,,0.21073257182972394,0.029072433347459008,0.37964463041849666,4
34.270660050356454,32,34.270660050356454,relay,9,52,0,jpg,2400,46,63.0,RECEIVED,2.2706600503564545,,0.20883408019161834,0.028534054952135693,0.37964463041849666,4
34.319066700154885,32,34.319066700154885,relay,9,53,0,jpg,2400,47,63.0,RECEIVED,2.3190667001548846,,0.20696949018990746,0.028015253953005952,0.37964463041849666,4
34.367473725661355,32,34.367473725661355,relay,9,54,0,jpg,2400,48,63.0,RECEIVED,2.3674737256613554,,0.2051379017811472,0.02751498156098799,0.37964463041849666,4
34.41588112688005,32,34.41588112688005,relay,9,55,0,jpg,2400,49,63.0,RECEIVED,2.415881126880052,,0.2033384465023652,0.027032262586233813,0.37964463041849666,4
34.46428890381515,32,34.46428890381515,relay,9,56,0,jpg,2400,50,63.0,RECEIVED,2.4642889038151523,,0.20157028609799682,0.026566189093367713,0.37964463041849666,4
34.512697056470834,32,34.512697056470834,relay,9,57,0,jpg,2400,51,63.0,RECEIVED,2.5126970564708344,,0.19983261121784168,0.0261159147019547,0.37964463041849666,4
34.56110558485127,32,34.56110558485127,relay,9,58,0,jpg,2400,52,63.0,RECEIVED,2.561105584851269,,0.19812464018179174,0.02568064945692212,0.37964463041849666,4
34.609514488960635,32,34.609514488960635,relay,9,59,0,jpg,2400,53,63.0,RECEIVED,2.6095144889606345,,0.19644561780736977,0.025259655203529956,0.37964463041849666,4
34.65792376880309,32,34.65792376880309,relay,9,60,0,jpg,2400,54,63.0,RECEIVED,2.6579237688030872,,0.19479481429638348,0.024852241409924633,0.37964463041849666,4
34.7063334243828,32,34.7063334243828,relay,9,61,0,jpg,2400,55,63.0,RECEIVED,2.706333424382798,,0.19317152417724695,0.02445776138754488,0.37964463041849666,4
34.75474345570392,32,34.75474345570392,relay,9,62,0,jpg,2400,56,63.0,RECEIVED,2.7547434557039168,,0.19157506529974905,0.02407560886586449,0.37964463041849666,4
34.80315386277061,32,34.80315386277061,relay,9,63,0,jpg,2400,57,63.0,RECEIVED,2.803153862770607,,0.1900047778792593,0.023705214883312727,0.37964463041849666,4
34.851564645587025,32,34.851564645587025,relay,9,64,0,jpg,2400,58,63.0,RECEIVED,2.8515646455870254,,0.188460023587558,0.023346044960838294,0.37964463041849666,4
34.899975804157314,32,34.899975804157314,relay,9,65,0,jpg,2400,59,63.0,RECEIVED,2.8999758041573145,,0.18694018468765833,0.022997596528586975,0.37964463041849666,4
